Plant_Type,Soil_Moisture,Temperature,Humidity,Light_Lux,Status
Kacang Hijau,28.2,33.38,63.68,8871.98,THIRSTY
Kacang Hijau,96.57,15.16,95.0,19757.76,COLD
Lidah Buaya,40.18,26.66,17.75,5286.76,NORMAL
Kacang Hijau,38.78,26.66,22.81,40176.88,SQUINT
Sirih Gading,55.99,32.17,29.82,15045.95,SQUINT
Bayam,0.53,31.35,57.54,49243.58,THIRSTY
Sirih Gading,11.31,39.66,35.36,41413.68,HOT
Sirih Gading,37.95,15.4,73.45,25327.5,COLD
Kacang Hijau,46.07,15.25,89.09,49442.03,COLD
Kacang Hijau,70.56,38.6,10.0,46262.42,HOT
Lidah Buaya,52.95,24.13,77.47,34222.45,NORMAL
Lidah Buaya,71.92,34.03,19.5,33425.66,NORMAL
Bayam,78.02,20.43,31.41,37793.71,SQUINT
Bayam,39.42,17.59,47.3,8505.34,COLD
Lidah Buaya,18.45,20.91,58.08,18561.75,NORMAL
Lidah Buaya,79.8,28.18,30.59,10685.65,NORMAL
Sirih Gading,65.4,21.75,39.35,20810.85,SQUINT
Lidah Buaya,62.59,37.1,56.98,16902.12,HOT
Bayam,22.66,20.11,44.04,19757.46,THIRSTY
Sirih Gading,94.72,21.31,82.29,6796.64,SICK
Kacang Hijau,87.28,35.73,23.6,5629.02,HOT
Lidah Buaya,72.44,17.83,38.35,7085.76,COLD
Kacang Hijau,29.75,29.76,48.45,28251.1,THIRSTY
Bayam,6.52,28.79,33.49,2496.12,THIRSTY
Bayam,0.96,39.0,25.54,14192.31,HOT
Bayam,48.93,23.15,32.12,37336.08,SQUINT
Bayam,27.07,16.33,60.9,49966.76,COLD
Kacang Hijau,23.07,30.19,48.1,8826.4,THIRSTY
Kacang Hijau,56.34,35.93,46.97,31230.7,HOT
Bayam,2.58,37.61,14.95,1014.0,HOT
Kacang Hijau,77.09,36.72,56.79,42239.16,HOT
Bayam,18.67,17.76,74.79,25510.8,COLD
Lidah Buaya,12.42,23.18,68.8,25352.38,NORMAL
Bayam,41.3,39.43,54.12,7567.06,HOT
Kacang Hijau,94.37,34.81,68.83,48006.78,SICK
Kacang Hijau,27.15,21.88,74.34,45212.16,THIRSTY
Sirih Gading,28.62,31.59,56.71,23005.13,SQUINT
Bayam,60.92,17.66,65.67,13745.42,COLD
Sirih Gading,41.8,15.32,83.19,28277.87,COLD
Kacang Hijau,64.52,27.8,31.65,8718.32,NORMAL
Kacang Hijau,39.53,31.45,15.23,9088.94,NORMAL
Bayam,56.55,19.02,41.65,31865.24,NORMAL
Kacang Hijau,89.39,30.5,49.09,39429.86,SQUINT
Lidah Buaya,0.36,35.5,10.0,37985.58,HOT
Kacang Hijau,66.92,20.21,52.07,24190.13,NORMAL
Lidah Buaya,62.06,22.85,49.41,38126.28,NORMAL
Kacang Hijau,82.69,16.65,33.86,26236.78,COLD
Kacang Hijau,18.74,16.99,83.23,42908.85,COLD
Sirih Gading,53.36,23.77,48.23,12.05,GLOOMY
Kacang Hijau,81.3,30.2,65.75,35906.15,SQUINT
Bayam,76.67,26.71,79.62,40597.11,SQUINT
Bayam,85.55,35.48,10.0,4594.8,HOT
Bayam,89.07,15.51,51.69,35926.57,COLD
Lidah Buaya,79.74,20.97,77.68,12360.29,NORMAL
Bayam,88.67,15.31,76.09,33533.17,COLD
Lidah Buaya,25.76,21.19,67.75,16672.85,NORMAL
Kacang Hijau,54.67,19.11,37.0,45120.65,SQUINT
Sirih Gading,2.95,18.06,45.25,21696.76,THIRSTY
Sirih Gading,9.13,35.27,70.99,8072.38,HOT
Kacang Hijau,71.02,35.48,42.14,15717.51,HOT
Kacang Hijau,81.87,22.41,89.57,49178.36,SQUINT
Kacang Hijau,3.98,24.43,49.8,13699.4,THIRSTY
Bayam,90.97,35.26,63.36,25462.26,HOT
Sirih Gading,67.64,37.72,54.15,15048.32,HOT
Bayam,14.32,23.11,35.63,47253.96,THIRSTY
Lidah Buaya,56.07,16.37,95.0,32938.88,COLD
Sirih Gading,54.38,30.08,28.29,34748.51,SQUINT
Kacang Hijau,82.87,24.72,39.42,17837.67,NORMAL
Sirih Gading,28.27,23.11,88.99,23043.44,SQUINT
Lidah Buaya,67.07,34.22,59.22,22456.53,NORMAL
Sirih Gading,86.8,17.67,76.47,41409.29,COLD
Kacang Hijau,19.23,31.69,22.03,2043.43,THIRSTY
Bayam,72.22,27.87,72.67,30753.67,NORMAL
Sirih Gading,56.69,18.58,30.62,46613.34,SQUINT
Kacang Hijau,56.7,36.77,57.11,36922.46,HOT
Kacang Hijau,1.22,20.59,94.04,48493.94,THIRSTY
Bayam,77.68,35.07,14.67,31292.33,HOT
Bayam,58.77,26.01,67.99,15896.97,NORMAL
Lidah Buaya,57.38,31.72,68.17,23300.18,NORMAL
Sirih Gading,45.43,24.1,79.68,35977.92,SQUINT
Sirih Gading,5.28,16.4,42.86,31292.06,COLD
Lidah Buaya,60.77,29.15,32.1,28795.52,NORMAL
Kacang Hijau,45.52,19.48,77.63,33388.03,SQUINT
Bayam,42.93,31.98,62.97,43081.63,SQUINT
Lidah Buaya,60.87,26.58,40.3,43811.16,NORMAL
Sirih Gading,48.11,39.14,10.0,16668.39,HOT
Lidah Buaya,52.39,37.57,64.73,30399.41,HOT
Sirih Gading,28.18,17.42,81.81,9215.07,COLD
Lidah Buaya,97.33,27.27,47.96,49519.21,SICK
Bayam,93.59,18.77,87.86,6848.26,NORMAL
Sirih Gading,71.95,31.59,36.79,16808.27,SQUINT
Lidah Buaya,79.26,16.71,93.19,28732.1,COLD
Lidah Buaya,77.18,22.37,33.3,10870.84,NORMAL
Kacang Hijau,57.63,32.68,19.16,30335.75,SQUINT
Lidah Buaya,79.99,29.09,19.24,46266.4,NORMAL
Kacang Hijau,15.52,25.02,59.15,9096.41,THIRSTY
Sirih Gading,69.56,24.13,48.8,46894.35,SQUINT
Bayam,42.64,36.77,17.28,46974.04,HOT
Bayam,44.05,25.71,44.01,25972.64,NORMAL
Kacang Hijau,54.89,27.86,21.66,18998.95,NORMAL
Sirih Gading,95.02,38.3,19.57,3163.13,HOT
Sirih Gading,46.74,24.96,42.24,14278.98,NORMAL
Bayam,59.45,17.74,39.41,17244.46,COLD
Kacang Hijau,13.12,34.03,50.3,1626.31,THIRSTY
Lidah Buaya,95.57,27.33,80.63,46353.46,SICK
Bayam,45.41,19.12,31.77,40060.5,SQUINT
Lidah Buaya,4.82,33.27,67.13,25248.05,THIRSTY
Lidah Buaya,87.64,38.12,38.03,6242.57,HOT
Lidah Buaya,89.0,36.94,47.07,26769.88,HOT
Bayam,56.27,23.27,28.92,23952.04,NORMAL
Bayam,42.9,17.3,79.57,43239.51,COLD
Lidah Buaya,72.15,16.32,59.17,16347.92,COLD
Bayam,7.69,18.43,41.09,10254.69,THIRSTY
Bayam,39.08,27.85,65.34,42065.42,THIRSTY
Bayam,91.29,24.45,73.16,37746.59,SQUINT
Bayam,16.99,28.95,18.04,14264.89,THIRSTY
Kacang Hijau,6.75,25.8,87.43,25935.05,THIRSTY
Kacang Hijau,13.97,27.22,63.35,1498.68,THIRSTY
Bayam,71.88,16.6,70.25,10766.53,COLD
Lidah Buaya,30.42,17.5,92.94,32719.67,COLD
Sirih Gading,0.97,39.51,32.8,7002.24,HOT
Bayam,97.25,38.5,53.09,1877.8,HOT
Lidah Buaya,64.17,18.12,86.08,43736.33,NORMAL
Bayam,27.29,35.78,10.0,122.73,HOT
Lidah Buaya,28.13,31.14,77.03,29765.98,NORMAL
Bayam,55.76,30.09,39.61,28838.04,NORMAL
Kacang Hijau,72.27,24.24,53.64,32836.47,SQUINT
Sirih Gading,79.2,19.11,85.12,6359.06,NORMAL
Bayam,40.51,19.64,81.59,43626.03,SQUINT
Kacang Hijau,62.13,22.67,48.2,16702.5,NORMAL
Sirih Gading,43.62,19.64,33.98,32915.37,SQUINT
Kacang Hijau,81.8,20.7,56.35,43036.53,SQUINT
Lidah Buaya,24.79,16.16,69.64,4768.69,COLD
Lidah Buaya,92.22,24.0,66.26,7585.33,SICK
Lidah Buaya,9.71,24.88,42.33,21633.01,NORMAL
Lidah Buaya,68.95,28.05,29.01,45148.84,NORMAL
Kacang Hijau,58.28,34.86,10.0,49771.88,SQUINT
Sirih Gading,95.9,15.23,48.75,30670.09,COLD
Sirih Gading,23.29,27.97,19.13,24600.09,SQUINT
Kacang Hijau,35.23,38.89,65.92,2155.01,HOT
Lidah Buaya,6.3,37.65,26.21,30029.84,HOT
Lidah Buaya,26.58,38.05,10.0,25749.39,HOT
Lidah Buaya,75.53,18.38,39.93,36063.41,NORMAL
Sirih Gading,8.88,32.14,69.41,43249.75,THIRSTY
Lidah Buaya,16.98,20.53,63.62,40020.5,NORMAL
Lidah Buaya,5.06,19.22,81.69,27674.25,NORMAL
Bayam,54.85,25.82,32.61,5802.67,NORMAL
Sirih Gading,14.05,29.26,17.36,31127.47,THIRSTY
Bayam,77.66,37.54,65.27,11416.54,HOT
Kacang Hijau,42.82,15.39,95.0,48332.74,COLD
Kacang Hijau,22.6,23.04,56.29,32023.8,THIRSTY
Kacang Hijau,68.42,22.62,30.41,22007.62,NORMAL
Kacang Hijau,89.68,19.55,52.38,23698.08,NORMAL
Sirih Gading,8.38,36.81,17.38,24144.72,HOT
Bayam,87.93,34.21,62.4,46884.11,SQUINT
Kacang Hijau,35.24,31.28,54.05,42072.38,SQUINT
Lidah Buaya,44.39,38.85,18.73,44930.59,HOT
Sirih Gading,9.47,32.19,32.0,48793.54,THIRSTY
Kacang Hijau,87.36,30.7,17.18,46043.62,SQUINT
Kacang Hijau,70.2,34.96,50.56,39789.63,SQUINT
Kacang Hijau,12.55,36.25,16.86,48174.0,HOT
Sirih Gading,75.51,19.56,94.12,10401.23,NORMAL
Lidah Buaya,88.49,16.69,58.24,37761.83,COLD
Sirih Gading,27.75,31.77,28.71,46670.66,SQUINT
Kacang Hijau,21.47,17.97,95.0,3361.71,COLD
Sirih Gading,59.26,20.7,91.0,18996.21,SQUINT
Kacang Hijau,75.34,33.51,17.23,38446.14,SQUINT
Sirih Gading,50.25,39.9,10.25,42420.89,HOT
Sirih Gading,60.92,31.12,70.42,42658.65,SQUINT
Kacang Hijau,76.25,15.84,73.63,43838.28,COLD
Lidah Buaya,7.68,16.08,57.35,19647.22,COLD
Bayam,45.89,29.05,44.27,48478.6,SQUINT
Lidah Buaya,93.31,18.52,95.0,11275.16,SICK
Lidah Buaya,67.96,36.66,10.0,27398.39,HOT
Kacang Hijau,91.55,19.51,67.98,1697.3,SICK
Kacang Hijau,27.02,16.44,56.81,48320.87,COLD
Kacang Hijau,8.93,24.43,88.34,34350.96,THIRSTY
Kacang Hijau,24.85,18.79,51.13,37197.31,THIRSTY
Lidah Buaya,57.08,17.12,71.95,45709.42,COLD
Kacang Hijau,65.14,21.85,63.52,41487.09,SQUINT
Sirih Gading,95.37,28.28,43.06,32105.51,SICK
Sirih Gading,79.38,19.39,57.91,23242.49,SQUINT
Sirih Gading,44.81,36.68,49.34,24395.01,HOT
Lidah Buaya,52.28,19.32,93.11,35778.48,NORMAL
Sirih Gading,16.25,23.0,58.42,47987.29,THIRSTY
Kacang Hijau,6.7,37.54,15.43,43867.52,HOT
Bayam,84.51,27.07,37.76,30107.72,NORMAL
Lidah Buaya,73.98,15.03,88.55,486.55,COLD
Kacang Hijau,81.58,32.4,19.67,11222.03,NORMAL
Lidah Buaya,91.64,26.35,37.38,19396.75,SICK
Bayam,38.31,24.96,31.95,43580.84,THIRSTY
Lidah Buaya,88.39,24.53,71.03,260.63,SICK
Lidah Buaya,55.94,31.78,55.04,2288.82,NORMAL
Bayam,44.26,38.63,21.52,5732.0,HOT
Sirih Gading,19.15,35.15,10.33,19311.82,HOT
Kacang Hijau,96.93,16.84,71.0,26154.89,COLD
Bayam,92.43,29.36,62.15,35619.7,SQUINT
Lidah Buaya,15.72,20.0,84.28,10523.11,NORMAL
Kacang Hijau,3.36,16.63,66.68,3132.66,COLD
Sirih Gading,96.27,31.9,69.74,31417.36,SICK
Bayam,69.9,25.66,28.19,22812.0,NORMAL
Sirih Gading,79.56,17.62,60.68,7069.18,COLD
Kacang Hijau,8.84,34.02,19.61,34947.44,THIRSTY
Bayam,61.67,32.37,10.0,4686.24,NORMAL
Sirih Gading,13.33,21.45,57.8,46387.29,THIRSTY
Sirih Gading,44.13,29.69,72.27,897.89,NORMAL
Sirih Gading,55.82,25.94,37.96,17350.12,SQUINT
Kacang Hijau,87.59,25.43,45.73,45264.95,SQUINT
Sirih Gading,24.46,32.75,74.92,37306.55,SQUINT
Bayam,39.07,31.44,23.97,47328.19,THIRSTY
Bayam,63.0,38.21,41.5,42270.96,HOT
Lidah Buaya,12.1,27.89,67.89,11080.46,NORMAL
Sirih Gading,71.4,31.19,78.54,46232.93,SQUINT
Kacang Hijau,10.55,17.15,35.77,29279.38,COLD
Bayam,4.03,24.21,71.1,19320.78,THIRSTY
Sirih Gading,38.89,35.41,73.57,2370.78,HOT
Kacang Hijau,93.85,32.2,17.63,9059.16,SICK
Kacang Hijau,40.78,33.13,15.68,44319.02,SQUINT
Kacang Hijau,71.22,31.3,26.25,11862.45,NORMAL
Lidah Buaya,24.24,25.74,69.92,29724.92,NORMAL
Bayam,38.2,38.83,18.99,4581.91,HOT
Lidah Buaya,39.01,28.56,45.47,33628.36,NORMAL
Sirih Gading,3.38,30.86,65.43,29657.8,THIRSTY
Lidah Buaya,54.99,27.6,72.39,13481.81,NORMAL
Lidah Buaya,71.52,26.9,36.04,47855.33,NORMAL
Sirih Gading,7.79,16.96,93.74,35340.18,COLD
Sirih Gading,12.72,17.1,95.0,3617.42,COLD
Bayam,50.01,19.66,72.55,5165.02,NORMAL
Bayam,78.99,27.86,56.92,32811.99,NORMAL
Sirih Gading,28.52,30.02,61.53,31538.52,SQUINT
Kacang Hijau,79.65,38.02,43.63,24076.12,HOT
Lidah Buaya,56.38,29.38,44.97,7872.65,NORMAL
Kacang Hijau,68.84,33.2,42.38,21741.37,NORMAL
Kacang Hijau,54.06,16.29,70.26,31871.5,COLD
Lidah Buaya,47.62,25.53,77.6,49388.67,SQUINT
Lidah Buaya,90.33,35.72,22.94,49934.71,HOT
Bayam,91.94,15.53,94.31,17677.41,COLD
Bayam,23.5,15.24,51.24,21100.26,COLD
Bayam,42.13,28.49,63.13,42700.78,SQUINT
Kacang Hijau,23.88,25.53,70.83,5523.71,THIRSTY
Lidah Buaya,54.58,17.21,60.45,23099.04,COLD
Kacang Hijau,91.94,30.01,48.58,24848.17,SICK
Lidah Buaya,80.14,29.08,62.8,36049.92,SICK
Kacang Hijau,5.06,38.16,29.63,1969.59,HOT
Sirih Gading,45.63,24.58,76.26,8538.41,NORMAL
Bayam,25.27,16.9,80.83,15570.28,COLD
Bayam,2.03,36.7,47.55,36231.57,HOT
Bayam,84.33,27.15,22.8,35900.31,SQUINT
Sirih Gading,15.64,30.24,76.19,37589.91,THIRSTY
Kacang Hijau,61.34,38.62,32.29,8351.7,HOT
Sirih Gading,33.42,21.22,48.38,1287.12,NORMAL
Sirih Gading,43.18,29.98,41.84,2696.63,NORMAL
Sirih Gading,41.89,32.73,10.0,38793.25,SQUINT
Lidah Buaya,12.32,36.63,60.12,18705.26,HOT
Kacang Hijau,62.53,32.31,25.37,37353.91,SQUINT
Sirih Gading,37.6,15.28,83.33,47130.49,COLD
Lidah Buaya,35.4,33.69,66.47,27718.2,NORMAL
Bayam,3.87,17.15,95.0,37675.2,COLD
Sirih Gading,50.24,38.32,64.6,16394.2,HOT
Lidah Buaya,24.85,22.1,41.36,18935.32,NORMAL
Sirih Gading,35.51,33.35,36.25,20358.21,SQUINT
Kacang Hijau,11.33,19.48,95.0,20180.05,THIRSTY
Lidah Buaya,75.17,15.04,86.17,37348.73,COLD
Lidah Buaya,25.86,35.33,63.65,16282.24,HOT
Kacang Hijau,6.71,27.55,57.84,37498.02,THIRSTY
Kacang Hijau,17.44,29.62,78.97,23582.47,THIRSTY
Lidah Buaya,8.81,16.89,52.21,42976.43,COLD
Lidah Buaya,46.51,27.83,33.23,28185.11,NORMAL
Lidah Buaya,93.83,24.23,68.05,4289.55,SICK
Lidah Buaya,54.92,31.22,61.45,19221.44,NORMAL
Sirih Gading,64.72,31.34,37.58,2238.42,NORMAL
Bayam,87.04,36.23,36.77,17972.25,HOT
Sirih Gading,0.14,22.61,29.64,22479.17,THIRSTY
Lidah Buaya,79.86,23.54,89.34,22927.44,NORMAL
Bayam,21.84,35.56,42.4,27120.51,HOT
Sirih Gading,54.57,30.45,47.49,17971.19,SQUINT
Bayam,62.96,36.46,72.71,39757.04,HOT
Sirih Gading,87.45,26.82,64.67,37460.86,SQUINT
Lidah Buaya,88.91,35.32,52.01,22466.8,HOT
Kacang Hijau,77.35,31.42,33.14,6543.68,NORMAL
Kacang Hijau,88.82,37.73,58.28,9960.98,HOT
Sirih Gading,65.95,38.32,42.37,20089.68,HOT
Kacang Hijau,8.35,23.44,83.29,10556.3,THIRSTY
Bayam,96.58,21.56,42.33,411.81,SICK
Kacang Hijau,8.35,26.01,61.56,44120.82,THIRSTY
Bayam,66.99,21.34,89.82,672.2,GLOOMY
Sirih Gading,27.03,39.06,61.23,41138.01,HOT
Kacang Hijau,82.75,24.23,86.46,34860.47,SQUINT
Lidah Buaya,41.17,36.42,41.09,5391.18,HOT
Sirih Gading,55.92,23.58,81.77,25737.11,SQUINT
Lidah Buaya,39.17,39.45,28.21,23213.35,HOT
Lidah Buaya,66.97,16.88,70.34,47061.08,COLD
Lidah Buaya,61.65,36.12,21.56,46161.97,HOT
Bayam,55.27,34.66,67.82,48382.35,SQUINT
Sirih Gading,72.15,25.45,85.33,4406.33,NORMAL
Kacang Hijau,56.51,31.67,21.39,38581.35,SQUINT
Sirih Gading,40.38,36.64,53.24,10737.23,HOT
Sirih Gading,40.63,20.51,38.25,46329.27,SQUINT
Kacang Hijau,27.71,35.72,58.77,47044.01,HOT
Kacang Hijau,47.51,38.93,29.0,44897.76,HOT
Sirih Gading,72.04,16.26,36.18,22224.0,COLD
Kacang Hijau,18.14,19.53,75.89,26258.17,THIRSTY
Bayam,77.89,34.2,65.91,31553.29,NORMAL
Bayam,54.09,39.86,10.0,28683.33,HOT
Bayam,46.78,19.46,54.64,20969.49,NORMAL
Lidah Buaya,71.15,32.77,77.06,20912.78,NORMAL
Lidah Buaya,96.64,36.52,10.0,17070.61,HOT
Lidah Buaya,31.58,32.85,10.0,38992.13,NORMAL
Sirih Gading,55.67,29.35,58.09,36914.78,SQUINT
Sirih Gading,40.82,39.34,44.92,14023.16,HOT
Sirih Gading,75.66,28.66,20.9,29121.75,SQUINT
Kacang Hijau,15.44,22.22,64.86,24057.01,THIRSTY
Lidah Buaya,75.08,33.51,65.51,7193.29,NORMAL
Bayam,3.78,22.5,38.72,2150.7,THIRSTY
Sirih Gading,75.38,38.34,50.39,10952.96,HOT
Sirih Gading,67.43,19.09,77.29,48997.77,SQUINT
Sirih Gading,0.74,29.91,62.32,25910.29,THIRSTY
Lidah Buaya,54.22,31.14,13.93,865.01,GLOOMY
Lidah Buaya,59.71,38.1,11.63,17093.27,HOT
Lidah Buaya,49.34,18.47,55.44,3148.82,NORMAL
Kacang Hijau,18.92,35.91,42.06,36019.2,HOT
Sirih Gading,40.26,37.49,66.19,44515.13,HOT
Sirih Gading,67.0,21.41,38.72,20.08,GLOOMY
Bayam,21.33,24.33,82.22,16269.52,THIRSTY
Lidah Buaya,29.56,38.05,12.94,48789.47,HOT
Kacang Hijau,97.54,33.28,61.46,28678.16,SICK
Sirih Gading,67.35,17.94,85.59,5750.55,COLD
Kacang Hijau,89.01,25.76,28.84,17293.87,NORMAL
Lidah Buaya,47.36,39.85,35.77,47730.87,HOT
Bayam,5.16,38.15,10.0,47937.16,HOT
Sirih Gading,63.94,31.64,46.76,16899.94,SQUINT
Bayam,31.1,30.56,57.98,16000.55,THIRSTY
Lidah Buaya,14.42,37.16,47.32,46744.82,HOT
Kacang Hijau,87.67,28.8,53.57,20174.14,NORMAL
Kacang Hijau,29.19,28.64,28.82,37430.44,THIRSTY
Lidah Buaya,79.26,26.39,67.89,24705.02,NORMAL
Sirih Gading,77.13,16.77,45.6,42071.99,COLD
Bayam,85.92,22.82,35.75,20176.14,NORMAL
Bayam,17.45,16.82,90.84,3540.74,COLD
Kacang Hijau,61.5,20.14,35.78,38731.69,SQUINT
Bayam,66.14,18.59,75.89,42396.21,SQUINT
Bayam,25.52,31.54,60.66,4462.49,THIRSTY
Kacang Hijau,94.17,31.94,35.71,8367.85,SICK
Sirih Gading,33.41,18.61,60.53,26091.54,SQUINT
Lidah Buaya,32.49,36.5,27.92,25852.42,HOT
Sirih Gading,28.92,15.87,62.34,40448.89,COLD
Sirih Gading,68.72,36.12,28.49,15641.71,HOT
Kacang Hijau,7.59,30.84,28.06,6443.99,THIRSTY
Sirih Gading,51.76,37.07,38.84,28893.85,HOT
Lidah Buaya,2.4,36.27,35.18,24729.31,HOT
Sirih Gading,24.36,39.64,46.11,39927.79,HOT
Bayam,95.0,24.63,79.11,40281.85,SQUINT
Sirih Gading,40.3,30.39,14.69,32457.7,SQUINT
Bayam,87.65,30.72,64.77,42606.98,SQUINT
Bayam,72.89,26.9,86.71,47624.57,SQUINT
Sirih Gading,61.49,38.44,36.93,24121.18,HOT
Kacang Hijau,19.67,36.57,64.66,36871.3,HOT
Sirih Gading,42.09,25.09,67.37,48070.88,SQUINT
Bayam,44.44,37.11,10.0,42471.11,HOT
Kacang Hijau,65.9,37.02,63.77,10561.59,HOT
Sirih Gading,64.73,35.55,49.42,6417.5,HOT
Sirih Gading,48.65,20.96,81.64,16702.28,SQUINT
Kacang Hijau,38.34,26.89,76.61,8413.93,NORMAL
Kacang Hijau,3.32,22.63,38.44,15197.32,THIRSTY
Sirih Gading,44.69,17.48,74.89,38899.25,COLD
Bayam,20.43,18.84,38.56,38335.58,THIRSTY
Sirih Gading,63.74,25.26,84.93,40091.29,SQUINT
Bayam,59.33,27.76,46.23,11669.77,NORMAL
Kacang Hijau,8.16,25.66,62.09,4389.41,THIRSTY
Kacang Hijau,32.7,36.96,30.35,33379.67,HOT
Bayam,53.66,33.71,67.75,37593.81,SQUINT
Bayam,21.62,32.15,10.53,3474.0,THIRSTY
Sirih Gading,89.58,17.19,78.48,2889.41,COLD
Sirih Gading,66.74,23.14,91.64,2192.34,NORMAL
Bayam,86.74,30.29,28.83,16354.98,NORMAL
Sirih Gading,20.93,38.39,63.77,1970.88,HOT
Sirih Gading,86.1,27.64,73.23,30781.22,SQUINT
Lidah Buaya,59.48,39.73,28.25,38861.43,HOT
Bayam,92.4,30.27,20.45,3883.62,NORMAL
Bayam,95.46,27.35,20.34,6428.86,SICK
Kacang Hijau,68.83,39.7,29.73,7027.65,HOT
Kacang Hijau,18.64,23.92,66.05,37468.47,THIRSTY
Lidah Buaya,23.62,35.75,51.44,18849.69,HOT
Lidah Buaya,40.35,35.37,26.48,12115.28,HOT
Kacang Hijau,18.99,20.82,30.04,1947.89,THIRSTY
Sirih Gading,88.5,21.75,78.67,11076.36,NORMAL
Bayam,98.93,16.89,64.56,38480.01,COLD
Sirih Gading,33.21,16.96,71.29,7747.09,COLD
Sirih Gading,53.37,18.59,79.31,7191.72,NORMAL
Sirih Gading,25.88,25.99,54.25,15822.86,SQUINT
Bayam,23.71,35.43,62.11,16183.14,HOT
Lidah Buaya,30.28,27.53,58.52,10018.02,NORMAL
Kacang Hijau,76.0,20.98,79.1,15629.9,NORMAL
Kacang Hijau,73.46,27.41,36.38,1197.31,NORMAL
Sirih Gading,38.59,21.3,57.34,49103.87,SQUINT
Sirih Gading,42.69,26.48,21.63,23451.25,SQUINT
Sirih Gading,77.45,15.98,35.05,6721.67,COLD
Kacang Hijau,8.53,18.72,58.45,49843.71,THIRSTY
Lidah Buaya,26.92,37.72,67.43,37710.09,HOT
Sirih Gading,65.4,31.2,11.98,30929.26,SQUINT
Kacang Hijau,83.98,17.96,59.26,19191.65,COLD
Sirih Gading,32.48,36.76,41.44,14669.48,HOT
Kacang Hijau,7.69,28.06,36.37,25031.21,THIRSTY
Lidah Buaya,73.09,38.66,53.07,8643.03,HOT
Bayam,99.06,15.48,42.13,14019.71,COLD
Kacang Hijau,81.57,17.98,53.47,29865.62,COLD
Sirih Gading,10.94,29.98,69.05,19864.56,THIRSTY
Kacang Hijau,91.49,38.51,66.51,18507.94,HOT
Sirih Gading,93.69,19.78,56.35,18862.6,SICK
Kacang Hijau,68.93,16.04,68.31,12615.6,COLD
Bayam,71.26,17.68,37.46,3479.09,COLD
Kacang Hijau,18.09,25.24,88.11,39957.9,THIRSTY
Lidah Buaya,69.49,16.39,95.0,8013.33,COLD
Bayam,49.5,23.32,64.01,47286.9,SQUINT
Sirih Gading,2.81,21.43,75.71,18766.07,THIRSTY
Lidah Buaya,35.8,32.13,58.6,44058.5,NORMAL
Lidah Buaya,28.27,28.76,69.39,9195.6,NORMAL
Lidah Buaya,3.09,39.67,19.15,8283.16,HOT
Sirih Gading,71.55,27.29,56.14,5481.41,NORMAL
Lidah Buaya,64.78,23.35,81.27,35508.58,NORMAL
Sirih Gading,78.8,15.55,90.36,14860.71,COLD
Lidah Buaya,66.66,32.46,46.81,40893.7,NORMAL
Sirih Gading,10.62,36.69,51.99,38793.86,HOT
Kacang Hijau,10.68,27.32,39.63,47670.14,THIRSTY
Lidah Buaya,19.37,15.9,50.7,25114.72,COLD
Bayam,95.43,15.58,37.71,7114.31,COLD
Kacang Hijau,61.34,38.74,50.18,20912.15,HOT
Lidah Buaya,70.07,34.94,10.0,1146.08,GLOOMY
Kacang Hijau,8.36,27.87,26.99,956.45,THIRSTY
Sirih Gading,4.11,30.39,40.32,17364.42,THIRSTY
Kacang Hijau,35.85,34.28,11.26,5793.45,NORMAL
Bayam,94.89,33.24,22.3,3039.06,NORMAL
Sirih Gading,27.7,15.51,76.55,43116.75,COLD
Bayam,43.17,24.62,74.9,16611.39,NORMAL
Sirih Gading,65.61,19.26,91.42,44092.74,SQUINT
Lidah Buaya,99.02,37.27,45.18,40968.49,HOT
Lidah Buaya,77.47,17.94,42.9,25692.87,COLD
Lidah Buaya,25.13,28.39,16.07,46087.76,NORMAL
Sirih Gading,41.28,15.27,78.19,42992.72,COLD
Kacang Hijau,24.67,26.17,53.35,23548.01,THIRSTY
Lidah Buaya,31.87,28.59,82.61,8023.82,NORMAL
Lidah Buaya,4.93,19.55,50.85,47522.11,THIRSTY
Sirih Gading,98.93,33.42,39.11,2737.25,SICK
Kacang Hijau,97.72,39.99,10.0,20345.4,HOT
Bayam,4.59,28.72,48.1,362.62,THIRSTY
Sirih Gading,37.36,17.37,54.75,10715.0,COLD
Kacang Hijau,23.75,24.71,51.84,18662.59,THIRSTY
Sirih Gading,48.42,25.8,73.53,39700.72,SQUINT
Lidah Buaya,54.82,30.69,65.35,26975.18,NORMAL
Kacang Hijau,43.53,29.9,82.35,46034.57,SQUINT
Sirih Gading,37.9,29.28,65.76,15138.38,SQUINT
Bayam,31.45,30.25,62.96,41444.86,THIRSTY
Kacang Hijau,76.02,29.3,69.93,7695.0,NORMAL
Lidah Buaya,70.41,15.19,92.82,33091.46,COLD
Sirih Gading,50.19,39.48,27.74,45496.51,HOT
Bayam,26.29,22.99,34.75,1787.42,THIRSTY
Bayam,48.81,35.88,26.57,47057.02,HOT
Bayam,84.44,30.59,36.66,22664.99,NORMAL
Sirih Gading,22.68,29.98,17.56,46574.52,SQUINT
Lidah Buaya,4.47,28.05,42.02,16756.21,THIRSTY
Lidah Buaya,16.94,35.74,10.0,39791.63,HOT
Lidah Buaya,19.42,39.72,32.99,23853.34,HOT
Sirih Gading,86.12,25.46,69.3,7734.24,NORMAL
